customerID,ACCT_BAL_TWD_MY,ACCT_BAL_TWD_MD,ACCT_BAL_TWD_FD,ACCT_BAL_TWD_FY,ACCT_BAL_TWD_MF,TVL_IND,TVL_AMT,Insight_Cha_001,SHP,PET,TVL,doubleCC_ind,GOV_TEAC_IND,CHILDREN_CN,EDU_CODE,INCOME_RANGE_CODE,WORK_YEARS,GENDER_CODE,AGE,CC_IND,WORLD_CARD_IND,PERSONAL_LN_IND,PAYROLL_ACCT_IND,PERSONAL_NET_FETW_IND,PERSONAL_NET_BANK_IND,INSURE_IND,PURE_CC_IND,MF_IND,WM_CLUB_MEM_IND,contact_seg,VIP_IND,SPT,CFE,BTY,CAR,FIN,ELE,FOD,SHW,EDU,HEA,SOC,POL,LIF,Insight_Cha_002,Insight_Cha_003,Insight_Cha_004,Insight_Cha_005,Insight_Cha_006,Insight_Cha_007,Insight_Cha_008,Insight_Cha_001_1,Insight_Cha_002_2,Insight_Cha_003_3,Insight_Cha_004_1,Insight_Cha_005_1,Insight_Cha_006_1,Insight_Cha_007_1,Insight_Cha_008_1,ONLINE_SHP_IND,res
121,7.0,34.0,210.0,10.0,15.0,0,0,1,0,0,0,0,0,0.0,4.0,1.0,0.0,0,70.0,0,0,0,0,1,1,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,23,17,0,2,0,0,0,0,0,3
122,87.0,355.0,-1.0,-1.0,27.0,1,4,1,1,0,1,0,0,0.0,3.0,2.0,0.0,0,65.0,1,1,0,0,1,1,0,0,1,0,4,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,3,0,0,0,0,0,0
123,35.0,3.0,-1.0,-1.0,-1.0,0,0,1,0,0,0,0,0,0.0,4.0,1.0,0.0,0,67.0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,4,3,0,5,1,0,0,0,0,3
126,-1.0,7.0,-1.0,-1.0,-1.0,0,0,1,0,0,0,0,0,0.0,-1.0,1.0,-1.0,1,51.0,0,0,0,0,0,1,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,38,42,0,1,0,0,0,0,0,3
128,-1.0,16.0,-1.0,-1.0,-1.0,0,0,1,0,0,0,0,0,0.0,-1.0,1.0,-1.0,0,43.0,0,0,0,0,0,1,0,0,0,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,8,7,1,0,0,0,0,0,0,3
130,10.0,5.0,-1.0,13.0,-1.0,0,0,1,1,0,0,1,1,0.0,4.0,1.0,0.0,1,67.0,1,0,0,0,1,1,0,0,0,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,75,9,0,0,0,0,0,3,1,3
131,6.0,51.0,100.0,-1.0,167.0,0,0,1,0,0,0,0,0,0.0,4.0,1.0,-1.0,1,70.0,0,0,0,0,1,1,0,0,1,0,5,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,72,21,0,0,0,0,1,0,0,0
133,-1.0,1.0,-1.0,-1.0,-1.0,0,0,1,0,0,0,0,0,0.0,3.0,2.0,0.0,1,65.0,1,0,0,0,0,1,0,0,0,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,3
134,0.0,5.0,17.0,-1.0,-1.0,0,0,1,0,0,0,0,0,0.0,6.0,1.0,-1.0,1,64.0,0,0,0,0,1,1,0,0,0,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,5,72,0,0,9,0,1,0,0,3
135,-1.0,-1.0,-1.0,-1.0,-1.0,0,0,1,0,0,0,0,0,0.0,4.0,1.0,6.83,1,65.0,1,0,0,0,0,1,0,1,0,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,1,3
136,4.0,6.0,300.0,-1.0,-1.0,0,0,1,1,0,1,0,0,0.0,3.0,3.0,0.0,1,65.0,1,0,0,0,1,1,1,0,0,1,5,1,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,22,20,0,2,0,0,0,0,0,3
138,1.0,4.0,-1.0,91.0,364.0,0,0,1,1,0,1,0,0,0.0,6.0,3.0,0.0,1,67.0,1,1,0,0,0,1,1,0,1,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,1,0,0,0,3,17,0,4,3,0,0,0,0,5
141,5.0,37.0,88.0,87.0,66.0,0,0,1,1,0,1,1,0,0.0,1.0,2.0,28.58,1,64.0,1,1,0,0,1,1,0,0,1,0,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,18,63,5,11,3,70,7,0,1,0
144,0.0,0.0,-1.0,-1.0,-1.0,0,0,1,0,0,1,1,0,0.0,6.0,2.0,8.0,0,65.0,1,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,15,6,17,1,2,0,11,0,0,3
